,DATE,TIME,BLOCK,PREDICTED GEN (MW)
123,2020-05-16,07:00,29,4.1216108272712555
124,2020-05-16,07:15,30,5.865281801548053
125,2020-05-16,07:30,31,9.31796795051237
126,2020-05-16,07:45,32,9.614558565821294
127,2020-05-16,08:00,33,13.700981207912792
128,2020-05-16,08:15,34,15.178537024175673
129,2020-05-16,08:30,35,16.621434133037642
130,2020-05-16,08:45,36,16.925343626518558
131,2020-05-16,09:00,37,19.625056022659294
132,2020-05-16,09:15,38,20.41330596373936
133,2020-05-16,09:30,39,21.25165619109917
134,2020-05-16,09:45,40,22.18796768094686
135,2020-05-16,10:00,41,22.408487874398496
136,2020-05-16,10:15,42,23.968350725901633
137,2020-05-16,10:30,43,24.810759435958868
138,2020-05-16,10:45,44,24.56993532039542
139,2020-05-16,11:00,45,25.580872588147365
140,2020-05-16,11:15,46,25.650850124724414
141,2020-05-16,11:30,47,26.736502921704894
142,2020-05-16,11:45,48,26.678082102253907
143,2020-05-16,12:00,49,26.73614617207254
144,2020-05-16,12:15,50,17.34679998372366
145,2020-05-16,12:30,51,20.509222594516547
146,2020-05-16,12:45,52,15.871630526125598
147,2020-05-16,13:00,53,20.138556380531078
148,2020-05-16,13:15,54,18.76148921367301
149,2020-05-16,13:30,55,23.390716164863818
150,2020-05-16,13:45,56,13.708253335583175
151,2020-05-16,14:00,57,18.137759458158968
152,2020-05-16,14:15,58,20.62893130363252
153,2020-05-16,14:30,59,22.80632915192917
154,2020-05-16,14:45,60,14.189047677966993
155,2020-05-16,15:00,61,13.63316103778633
156,2020-05-16,15:15,62,9.136463678081942
157,2020-05-16,15:30,63,11.651811496213126
158,2020-05-16,15:45,64,9.221181712373212
159,2020-05-16,16:00,65,7.016586521626981
160,2020-05-16,16:15,66,7.015005664497352
161,2020-05-16,16:30,67,3.7680861814238726
162,2020-05-16,16:45,68,2.0734863953620035
163,2020-05-16,17:00,69,2.725929883740256
164,2020-05-16,17:15,70,0.8589567204968444
165,2020-05-16,17:30,71,0.1969899088062192
166,2020-05-16,17:45,72,0.005790609428562291
167,2020-05-16,18:00,73,0.005790609428562291
168,2020-05-16,18:15,74,0.005801854220228958
169,2020-05-16,18:30,75,0.005801854220228958
170,2020-05-16,18:45,76,0.01529886584091064
171,2020-05-16,19:00,77,0.005790609428562291
172,2020-05-16,19:15,78,0.005790609428562291
173,2020-05-16,19:30,79,0.005790609428562291
174,2020-05-16,19:45,80,0.005790609428562291
175,2020-05-16,20:00,81,0.005790609428562291
176,2020-05-16,20:15,82,0.005790609428562291
177,2020-05-16,20:30,83,0.005790609428562291
178,2020-05-16,20:45,84,0.005790609428562291
179,2020-05-16,21:00,85,0.005790609428562291
180,2020-05-16,21:15,86,0.005790609428562291
181,2020-05-16,21:30,87,0.005790609428562291
182,2020-05-16,21:45,88,0.005790609428562291
183,2020-05-16,22:00,89,0.005790609428562291
184,2020-05-16,22:15,90,0.005790609428562291
185,2020-05-16,22:30,91,0.005790609428562291
186,2020-05-16,22:45,92,0.005790609428562291
187,2020-05-16,23:00,93,0.005873611273974846
188,2020-05-16,23:15,94,0.005468784868585357
189,2020-05-16,23:30,95,0.005480029660252024
190,2020-05-16,23:45,96,0.010826288400934457
191,2020-05-17,00:00,1,0.0001687626698995449
192,2020-05-17,00:15,2,0.0
193,2020-05-17,00:30,3,0.0
194,2020-05-17,00:45,4,0.0
195,2020-05-17,01:00,5,0.0
196,2020-05-17,01:15,6,0.00441557722537879
197,2020-05-17,01:30,7,0.0
198,2020-05-17,01:45,8,0.0
199,2020-05-17,02:00,9,0.0
200,2020-05-17,02:15,10,0.0
201,2020-05-17,02:30,11,0.0
202,2020-05-17,02:45,12,0.0
203,2020-05-17,03:00,13,0.0
204,2020-05-17,03:15,14,0.00020474500291375286
205,2020-05-17,03:30,15,0.0
206,2020-05-17,03:45,16,0.0
207,2020-05-17,04:00,17,0.0
208,2020-05-17,04:15,18,0.0
209,2020-05-17,04:30,19,0.0
210,2020-05-17,04:45,20,0.0
211,2020-05-17,05:00,21,0.0
212,2020-05-17,05:15,22,0.0
213,2020-05-17,05:30,23,0.0
214,2020-05-17,05:45,24,0.0
215,2020-05-17,06:00,25,0.23362921714777127
216,2020-05-17,06:15,26,0.6234884778672558
217,2020-05-17,06:30,27,0.8599906256501552
218,2020-05-17,06:45,28,0.859745413612053
219,2020-05-17,07:00,29,1.4160975612571207
220,2020-05-17,07:15,30,2.0973005085384746
221,2020-05-17,07:30,31,4.136167234248746
222,2020-05-17,07:45,32,7.620308115713138
223,2020-05-17,08:00,33,13.568923192447683
224,2020-05-17,08:15,34,14.370023163749982
225,2020-05-17,08:30,35,15.512830885207899
226,2020-05-17,08:45,36,14.648604817898466
227,2020-05-17,09:00,37,16.363800327288118
228,2020-05-17,09:15,38,20.76113242707214
229,2020-05-17,09:30,39,20.292484771598883
230,2020-05-17,09:45,40,20.534599036958568
231,2020-05-17,10:00,41,19.4079050624137
232,2020-05-17,10:15,42,16.854865099617545
233,2020-05-17,10:30,43,19.678907608545682
234,2020-05-17,10:45,44,21.262928141424535
235,2020-05-17,11:00,45,21.342416218041045
236,2020-05-17,11:15,46,19.550659131904442
237,2020-05-17,11:30,47,15.629384294009657
238,2020-05-17,11:45,48,14.35716020617182
239,2020-05-17,12:00,49,16.028959097419385
240,2020-05-17,12:15,50,17.09744894089197
241,2020-05-17,12:30,51,17.405777441415978
242,2020-05-17,12:45,52,20.322857528176712
243,2020-05-17,13:00,53,21.23070542113127
244,2020-05-17,13:15,54,22.26100178328263
245,2020-05-17,13:30,55,19.77409063821311
246,2020-05-17,13:45,56,21.24131100227065
247,2020-05-17,14:00,57,22.267825289381573
248,2020-05-17,14:15,58,20.613107844141112
249,2020-05-17,14:30,59,16.948784713794154
250,2020-05-17,14:45,60,15.723646790522414
251,2020-05-17,15:00,61,9.143000292678101
252,2020-05-17,15:15,62,7.611352233634115
253,2020-05-17,15:30,63,8.679543204474776
254,2020-05-17,15:45,64,8.679850383125569
255,2020-05-17,16:00,65,8.676770988152834
256,2020-05-17,16:15,66,13.220152514900699
257,2020-05-17,16:30,67,11.784075336231812
258,2020-05-17,16:45,68,9.143000292678101
259,2020-05-17,17:00,69,2.725929883740256
260,2020-05-17,17:15,70,3.4699201268305364
261,2020-05-17,17:30,71,4.855826744164835
262,2020-05-17,17:45,72,2.5416385346665167
263,2020-05-17,18:00,73,2.0734863953620035
264,2020-05-17,18:15,74,0.8589567204968444
265,2020-05-17,18:30,75,0.005790609428562291
266,2020-05-17,18:45,76,0.005790609428562291
267,2020-05-17,19:00,77,0.005790609428562291
268,2020-05-17,19:15,78,0.005790609428562291
269,2020-05-17,19:30,79,0.005790609428562291
270,2020-05-17,19:45,80,0.005790609428562291
271,2020-05-17,20:00,81,0.005790609428562291
272,2020-05-17,20:15,82,0.005790609428562291
273,2020-05-17,20:30,83,0.005790609428562291
274,2020-05-17,20:45,84,0.005790609428562291
275,2020-05-17,21:00,85,0.005790609428562291
276,2020-05-17,21:15,86,0.005790609428562291
277,2020-05-17,21:30,87,0.00461707291593977
278,2020-05-17,21:45,88,0.004533982927101809
279,2020-05-17,22:00,89,0.0
280,2020-05-17,22:15,90,0.0
281,2020-05-17,22:30,91,0.0
282,2020-05-17,22:45,92,0.014633181069630604
283,2020-05-17,23:00,93,0.010826288400934457
284,2020-05-17,23:15,94,0.000948467967703593
285,2020-05-17,23:30,95,0.003101682144693541
286,2020-05-17,23:45,96,0.0
287,2020-05-18,00:00,1,0.0
288,2020-05-18,00:15,2,0.0
289,2020-05-18,00:30,3,0.0
290,2020-05-18,00:45,4,0.01579859773963102
291,2020-05-18,01:00,5,0.0022674304732168697
292,2020-05-18,01:15,6,0.00204009548343813
293,2020-05-18,01:30,7,0.0003872372369528619
294,2020-05-18,01:45,8,0.0020581329834381294
295,2020-05-18,02:00,9,0.003101682144693541
296,2020-05-18,02:15,10,0.003101682144693541
297,2020-05-18,02:30,11,0.003101682144693541
298,2020-05-18,02:45,12,0.003101682144693541
299,2020-05-18,03:00,13,0.003101682144693541
300,2020-05-18,03:15,14,0.003101682144693541
301,2020-05-18,03:30,15,0.003492657504287651
302,2020-05-18,03:45,16,1.3689814814814818e-05
